Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
grocery,org.iselab.grocery.repository,ProductRepository,save,3,1,1
grocery,org.iselab.grocery.repository,ProductRepository,findAll,3,1,0
grocery,org.iselab.grocery.repository,ProductRepository,findById,8,3,1
grocery,org.iselab.grocery.repository,ProductRepository,findByName,9,3,1
grocery,org.iselab.grocery.repository,ProductRepository,removeById,8,2,1
grocery,org.iselab.grocery.repository,ProductRepository,max,11,3,2
grocery,org.iselab.grocery.util,SystemUtils,clearScreen,4,1,0
grocery,org.iselab.grocery.util,SystemUtils,getIntFromKeyboard,3,1,0
grocery,org.iselab.grocery.util,SystemUtils,getStringFromKeyboard,3,1,0
grocery,org.iselab.grocery.util,SystemUtils,pressEnterKeyToContinue,9,1,0
grocery,org.iselab.grocery.util,SystemUtils,closeScanner,3,1,0
grocery,org.iselab.grocery.util,SystemUtils,printHeader,11,2,1
grocery,org.iselab.grocery.util,UUIDUtils,getId,3,1,0
grocery,org.iselab.grocery.controller,ProductController,ProductController,3,1,0
grocery,org.iselab.grocery.controller,ProductController,print,9,2,1
grocery,org.iselab.grocery.controller,ProductController,showMenu,12,1,0
grocery,org.iselab.grocery.controller,ProductController,listAll,6,1,0
grocery,org.iselab.grocery.controller,ProductController,remove,18,2,0
grocery,org.iselab.grocery.controller,ProductController,searchByName,8,1,0
grocery,org.iselab.grocery.controller,ProductController,searchById,14,2,0
grocery,org.iselab.grocery.controller,ProductController,addProduct,10,1,0
grocery,org.iselab.grocery.controller,ProductController,start,23,7,0
grocery,org.iselab.grocery.controller,Shapes,calculateShape,18,5,1
grocery,org.iselab.grocery,MainClass,main,5,1,1
grocery,org.iselab.grocery,MainClass,showMenu,8,1,0
grocery,org.iselab.grocery,MainClass,run,14,3,0
grocery,org.iselab.grocery.domain,Product,Product,3,1,0
grocery,org.iselab.grocery.domain,Product,getId,3,1,0
grocery,org.iselab.grocery.domain,Product,setId,3,1,1
grocery,org.iselab.grocery.domain,Product,getName,3,1,0
grocery,org.iselab.grocery.domain,Product,setName,3,1,1
grocery,org.iselab.grocery.domain,Product,getAmount,3,1,0
grocery,org.iselab.grocery.domain,Product,setAmount,3,1,1
grocery,org.iselab.grocery.domain,Product,toString,9,1,0
